"country","iso3c","elect.type","date","description","link"
"Switzerland","CHE"," Referendum",2016-02-28,"Election Date:  Feb. 28, 2016 Switzerland: Referendum, 28 February 2016 At stake in this referendum:  Swiss voters will vote on four provisions in the 28 February 2016 Referendum. One provision is related to taxation...","http://www.electionguide.org/elections/id/2894/"
"New Zealand","NZL"," Referendum",2016-03-03,"Election Date:  March 03, 2016 ","http://www.electionguide.org/elections/id/2816/"
"Samoa","WSM"," Election for Legislative Assembly",2016-03-04,"Election Date:  March 04, 2016 ","http://www.electionguide.org/elections/id/2702/"
"Slovakia","SVK"," Election for National Council",2016-03-05,"Election Date:  March 05, 2016 Slovakia: Parliamentary Election, 5 March 2016 At stake in this election:  150 seats in the N&aacute;rodn&aacute; rada Slovenskej republiky (National Council)  Description of government structure:  Chief of...","http://www.electionguide.org/elections/id/2717/"
"Benin","BEN"," Election for President",2016-03-06,"Election Date:  March 06, 2016 Benin: Presidential Election, 6 March 2016 At stake in this election:  The office of the President of Benin  Description of government structure:  Chief of State: President Thomas...","http://www.electionguide.org/elections/id/2492/"
"Benin","BEN"," Election for President",2016-03-13,"Election Date:  March 13, 2016 ","http://www.electionguide.org/elections/id/2893/"
"Kiribati","KIR"," Election for President",2016-03-17,"Election Date:  March 17, 2016 ","http://www.electionguide.org/elections/id/2617/"
"Senegal","SEN"," Referendum",2016-03-20,"Election Date:  March 20, 2016 ","http://www.electionguide.org/elections/id/2905/"
"Niger","NER"," Election for President",2016-03-20,"Election Date:  March 20, 2016 ","http://www.electionguide.org/elections/id/2895/"
"Kazakhstan","KAZ"," Election for Parliament",2016-03-20,"Election Date:  March 20, 2016 ","http://www.electionguide.org/elections/id/2904/"
"Netherlands","NLD"," Referendum",2016-04-06,"Election Date:  April 06, 2016 ","http://www.electionguide.org/elections/id/2896/"
"Peru","PER"," Election for President",2016-04-10,"Election Date:  April 10, 2016 ","http://www.electionguide.org/elections/id/2678/"
"Comoros","COM"," Election for President",2016-04-10,"Election Date:  April 10, 2016 ","http://www.electionguide.org/elections/id/2891/"
"Chad","TCD"," Election for President",2016-04-10,"Election Date:  April 10, 2016 ","http://www.electionguide.org/elections/id/2518/"
"Peru","PER"," Election for Congress of the Republic",2016-04-10,"Election Date:  April 10, 2016 ","http://www.electionguide.org/elections/id/2679/"
"South Korea","KOR"," Election for National Assembly",2016-04-13,"Election Date:  April 13, 2016 ","http://www.electionguide.org/elections/id/2619/"
"Syria","SYR"," Election for People's Assembly",2016-04-13,"Election Date:  April 13, 2016 ","http://www.electionguide.org/elections/id/2907/"
"Italy","ITA"," Referendum",2016-04-17,"Election Date:  April 17, 2016 ","http://www.electionguide.org/elections/id/2902/"
"Chad","TCD"," Election for President",2016-05-09,"Election Date:  May 09, 2016 ","http://www.electionguide.org/elections/id/2899/"
"Dominican Republic","DOM"," Election for Chamber of Deputies",2016-05-15,"Election Date:  May 15, 2016 ","http://www.electionguide.org/elections/id/2550/"
"Dominican Republic","DOM"," Election for Senate",2016-05-15,"Election Date:  May 15, 2016 ","http://www.electionguide.org/elections/id/2549/"
"Dominican Republic","DOM"," Election for President",2016-05-15,"Election Date:  May 15, 2016 ","http://www.electionguide.org/elections/id/2548/"
"Vietnam","VNM"," Election for National Assembly",2016-05-22,"Election Date:  May 22, 2016 ","http://www.electionguide.org/elections/id/2766/"
"Tajikistan","TJK"," Referendum",2016-05-22,"Election Date:  May 22, 2016 ","http://www.electionguide.org/elections/id/2903/"
"Cyprus","CYP"," Election for House of Representatives",2016-05-22,"Election Date:  May 22, 2016 ","http://www.electionguide.org/elections/id/2536/"
"Macedonia","MKD"," Election for Assembly",2016-06-05,"Election Date:  June 05, 2016 ","http://www.electionguide.org/elections/id/2865/"
"United Kingdom","GBR"," Referendum",2016-06-23,"Election Date:  June 23, 2016 ","http://www.electionguide.org/elections/id/2906/"
"Zambia","ZMB"," Election for President",2016-08-11,"Election Date:  Aug. 11, 2016 ","http://www.electionguide.org/elections/id/2884/"
"Zambia","ZMB"," Referendum",2016-08-11,"Election Date:  Aug. 11, 2016 ","http://www.electionguide.org/elections/id/2898/"
"Zambia","ZMB"," Election for National Assembly",2016-08-11,"Election Date:  Aug. 11, 2016 ","http://www.electionguide.org/elections/id/2770/"
